<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
USD000000TOD,0,20131204,100620,33.260000000,60000
USD000000TOD,0,20131204,100626,33.260000000,149000
USD000000TOD,0,20131204,100650,33.260000000,100000
USD000000TOD,0,20131204,100650,33.260000000,91000
USD000000TOD,0,20131204,100656,33.260000000,109000
USD000000TOD,0,20131204,100656,33.260000000,391000
USD000000TOD,0,20131204,100656,33.261500000,609000
USD000000TOD,0,20131204,100656,33.258500000,27000
USD000000TOD,0,20131204,100656,33.258500000,80000
USD000000TOD,0,20131204,100700,33.261500000,80000
USD000000TOD,0,20131204,100700,33.262000000,163000
USD000000TOD,0,20131204,100704,33.260000000,3000
USD000000TOD,0,20131204,100707,33.260000000,11000
USD000000TOD,0,20131204,100707,33.260000000,189000
USD000000TOD,0,20131204,100707,33.260000000,11000
USD000000TOD,0,20131204,100707,33.258000000,30000
USD000000TOD,0,20131204,100707,33.258000000,80000
USD000000TOD,0,20131204,100707,33.261000000,107000
USD000000TOD,0,20131204,100707,33.260000000,100000
USD000000TOD,0,20131204,100707,33.257500000,100000
USD000000TOD,0,20131204,100712,33.260000000,200000
USD000000TOD,0,20131204,100712,33.260000000,200000
USD000000TOD,0,20131204,100712,33.260000000,1311000
USD000000TOD,0,20131204,100714,33.260000000,8000
USD000000TOD,0,20131204,100716,33.261000000,27000
USD000000TOD,0,20131204,100719,33.261000000,2000
USD000000TOD,0,20131204,100719,33.261000000,1000
USD000000TOD,0,20131204,100719,33.261000000,6000
USD000000TOD,0,20131204,100720,33.261000000,100000
USD000000TOD,0,20131204,100726,33.262000000,15000
USD000000TOD,0,20131204,100728,33.262000000,100000
USD000000TOD,0,20131204,100731,33.261000000,500000
USD000000TOD,0,20131204,100731,33.260500000,414000
USD000000TOD,0,20131204,100731,33.260000000,200000
USD000000TOD,0,20131204,100731,33.260000000,513000
USD000000TOD,0,20131204,100731,33.260000000,494000
USD000000TOD,0,20131204,100733,33.260000000,176000
USD000000TOD,0,20131204,100733,33.260000000,1298000
USD000000TOD,0,20131204,100733,33.260000000,200000
USD000000TOD,0,20131204,100733,33.260000000,6000
USD000000TOD,0,20131204,100741,33.260000000,100000
USD000000TOD,0,20131204,100741,33.257500000,200000
USD000000TOD,0,20131204,100747,33.257500000,60000
USD000000TOD,0,20131204,100755,33.257500000,1640000
USD000000TOD,0,20131204,100755,33.257500000,27000
USD000000TOD,0,20131204,100755,33.257000000,499000
USD000000TOD,0,20131204,100756,33.257500000,60000
USD000000TOD,0,20131204,100756,33.258500000,140000
USD000000TOD,0,20131204,100825,33.255500000,30000
USD000000TOD,0,20131204,100825,33.255000000,100000
USD000000TOD,0,20131204,100825,33.255000000,10000
USD000000TOD,0,20131204,100825,33.255000000,2000000
USD000000TOD,0,20131204,100830,33.255500000,2000
USD000000TOD,0,20131204,100834,33.255500000,78000
USD000000TOD,0,20131204,100834,33.255500000,222000
USD000000TOD,0,20131204,100834,33.255500000,519000
USD000000TOD,0,20131204,100834,33.255500000,953000
USD000000TOD,0,20131204,100851,33.259000000,500000
USD000000TOD,0,20131204,100851,33.260000000,400000
USD000000TOD,0,20131204,100851,33.260000000,400000
USD000000TOD,0,20131204,100851,33.260000000,50000
USD000000TOD,0,20131204,100851,33.260000000,650000
USD000000TOD,0,20131204,100851,33.256000000,20000
USD000000TOD,0,20131204,100856,33.260000000,200000
USD000000TOD,0,20131204,100858,33.257000000,22000
USD000000TOD,0,20131204,100900,33.257000000,40000
USD000000TOD,0,20131204,100903,33.260500000,100000
USD000000TOD,0,20131204,100906,33.260500000,11000
USD000000TOD,0,20131204,100906,33.260500000,126000
USD000000TOD,0,20131204,100911,33.260500000,263000
USD000000TOD,0,20131204,100918,33.261000000,500000
USD000000TOD,0,20131204,100918,33.260500000,100000
