<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USD000000TOD,1,20131204,110500,33.2610000,33.2635000,33.2600000,33.2605000,18839000
USD000000TOD,1,20131204,110600,33.2600000,33.2630000,33.2590000,33.2625000,2821000
USD000000TOD,1,20131204,110700,33.2625000,33.2625000,33.2580000,33.2580000,5940000
USD000000TOD,1,20131204,110800,33.2580000,33.2600000,33.2580000,33.2590000,829000
USD000000TOD,1,20131204,110900,33.2610000,33.2610000,33.2590000,33.2605000,266000
USD000000TOD,1,20131204,111000,33.2605000,33.2625000,33.2600000,33.2615000,1782000
USD000000TOD,1,20131204,111100,33.2605000,33.2630000,33.2570000,33.2630000,11910000
USD000000TOD,1,20131204,111200,33.2610000,33.2635000,33.2610000,33.2630000,6143000
USD000000TOD,1,20131204,111300,33.2630000,33.2650000,33.2630000,33.2650000,20471000
USD000000TOD,1,20131204,111400,33.2650000,33.2650000,33.2595000,33.2610000,3488000
USD000000TOD,1,20131204,111500,33.2610000,33.2610000,33.2540000,33.2570000,16783000
USD000000TOD,1,20131204,111600,33.2565000,33.2580000,33.2500000,33.2580000,23423000
USD000000TOD,1,20131204,111700,33.2560000,33.2580000,33.2560000,33.2580000,1799000
USD000000TOD,1,20131204,111800,33.2550000,33.2595000,33.2550000,33.2575000,3163000
USD000000TOD,1,20131204,111900,33.2590000,33.2600000,33.2575000,33.2600000,17784000
USD000000TOD,1,20131204,112000,33.2605000,33.2630000,33.2575000,33.2620000,4848000
USD000000TOD,1,20131204,112100,33.2615000,33.2615000,33.2555000,33.2580000,1511000
USD000000TOD,1,20131204,112200,33.2580000,33.2595000,33.2575000,33.2595000,2747000
USD000000TOD,1,20131204,112300,33.2595000,33.2595000,33.2575000,33.2575000,1945000
USD000000TOD,1,20131204,112400,33.2595000,33.2620000,33.2595000,33.2620000,7270000
USD000000TOD,1,20131204,112500,33.2615000,33.2620000,33.2600000,33.2620000,1314000
USD000000TOD,1,20131204,112600,33.2610000,33.2630000,33.2610000,33.2625000,1036000
USD000000TOD,1,20131204,112700,33.2610000,33.2625000,33.2595000,33.2595000,2004000
USD000000TOD,1,20131204,112800,33.2600000,33.2620000,33.2585000,33.2585000,1634000
USD000000TOD,1,20131204,112900,33.2605000,33.2615000,33.2590000,33.2610000,1105000
USD000000TOD,1,20131204,113000,33.2590000,33.2590000,33.2575000,33.2575000,1141000
USD000000TOD,1,20131204,113100,33.2625000,33.2625000,33.2605000,33.2605000,1875000
USD000000TOD,1,20131204,113200,33.2605000,33.2605000,33.2545000,33.2580000,4418000
USD000000TOD,1,20131204,113300,33.2580000,33.2580000,33.2530000,33.2540000,5622000
USD000000TOD,1,20131204,113400,33.2545000,33.2555000,33.2515000,33.2515000,4550000
USD000000TOD,1,20131204,113500,33.2530000,33.2540000,33.2505000,33.2525000,1472000
USD000000TOD,1,20131204,113600,33.2525000,33.2525000,33.2525000,33.2525000,35000
USD000000TOD,1,20131204,113700,33.2530000,33.2535000,33.2515000,33.2535000,647000
USD000000TOD,1,20131204,113800,33.2530000,33.2535000,33.2510000,33.2535000,5184000
USD000000TOD,1,20131204,113900,33.2530000,33.2540000,33.2525000,33.2535000,2922000
USD000000TOD,1,20131204,114000,33.2535000,33.2540000,33.2535000,33.2540000,1418000
USD000000TOD,1,20131204,114100,33.2540000,33.2540000,33.2525000,33.2530000,1208000
USD000000TOD,1,20131204,114200,33.2525000,33.2540000,33.2500000,33.2520000,6295000
USD000000TOD,1,20131204,114300,33.2520000,33.2520000,33.2395000,33.2470000,22878000
USD000000TOD,1,20131204,114400,33.2470000,33.2495000,33.2470000,33.2475000,1443000
USD000000TOD,1,20131204,114500,33.2475000,33.2495000,33.2400000,33.2445000,15635000
USD000000TOD,1,20131204,114600,33.2460000,33.2480000,33.2350000,33.2355000,18524000
USD000000TOD,1,20131204,114700,33.2360000,33.2400000,33.2360000,33.2380000,13104000
USD000000TOD,1,20131204,114800,33.2390000,33.2390000,33.2340000,33.2360000,3226000
USD000000TOD,1,20131204,114900,33.2350000,33.2360000,33.2315000,33.2320000,5449000
USD000000TOD,1,20131204,115000,33.2325000,33.2340000,33.2150000,33.2150000,33563000
USD000000TOD,1,20131204,115100,33.2145000,33.2315000,33.2140000,33.2300000,2350000
USD000000TOD,1,20131204,115200,33.2300000,33.2345000,33.2285000,33.2340000,10933000
USD000000TOD,1,20131204,115300,33.2340000,33.2400000,33.2310000,33.2380000,10937000
USD000000TOD,1,20131204,115400,33.2370000,33.2370000,33.2310000,33.2350000,5640000
USD000000TOD,1,20131204,115500,33.2350000,33.2355000,33.2335000,33.2350000,880000
USD000000TOD,1,20131204,115600,33.2350000,33.2365000,33.2350000,33.2350000,4928000
USD000000TOD,1,20131204,115700,33.2380000,33.2380000,33.2335000,33.2335000,4366000
USD000000TOD,1,20131204,115800,33.2350000,33.2355000,33.2350000,33.2355000,74000
USD000000TOD,1,20131204,115900,33.2325000,33.2325000,33.2285000,33.2300000,10053000
USD000000TOD,1,20131204,120000,33.2290000,33.2300000,33.2270000,33.2270000,1444000
USD000000TOD,1,20131204,120100,33.2285000,33.2285000,33.2235000,33.2260000,5269000
USD000000TOD,1,20131204,120200,33.2290000,33.2335000,33.2290000,33.2300000,5854000
USD000000TOD,1,20131204,120300,33.2305000,33.2325000,33.2285000,33.2285000,3878000
USD000000TOD,1,20131204,120400,33.2300000,33.2400000,33.2300000,33.2400000,3478000
USD000000TOD,1,20131204,120500,33.2400000,33.2400000,33.2365000,33.2400000,2916000
USD000000TOD,1,20131204,120600,33.2390000,33.2390000,33.2330000,33.2375000,4334000
USD000000TOD,1,20131204,120700,33.2385000,33.2385000,33.2330000,33.2345000,2223000
USD000000TOD,1,20131204,120800,33.2320000,33.2335000,33.2320000,33.2335000,1156000
USD000000TOD,1,20131204,120900,33.2385000,33.2385000,33.2265000,33.2295000,6692000
USD000000TOD,1,20131204,121000,33.2370000,33.2400000,33.2370000,33.2400000,1858000
USD000000TOD,1,20131204,121100,33.2410000,33.2455000,33.2410000,33.2425000,807000
USD000000TOD,1,20131204,121200,33.2445000,33.2475000,33.2445000,33.2460000,1447000
USD000000TOD,1,20131204,121300,33.2440000,33.2460000,33.2425000,33.2460000,1755000
USD000000TOD,1,20131204,121400,33.2410000,33.2435000,33.2400000,33.2400000,5919000
USD000000TOD,1,20131204,121500,33.2400000,33.2400000,33.2365000,33.2365000,1366000
USD000000TOD,1,20131204,121600,33.2370000,33.2390000,33.2360000,33.2390000,3235000
USD000000TOD,1,20131204,121700,33.2395000,33.2400000,33.2355000,33.2370000,1599000
USD000000TOD,1,20131204,121800,33.2395000,33.2410000,33.2395000,33.2410000,470000
USD000000TOD,1,20131204,121900,33.2410000,33.2425000,33.2410000,33.2420000,681000
USD000000TOD,1,20131204,122000,33.2425000,33.2450000,33.2400000,33.2425000,4367000
USD000000TOD,1,20131204,122100,33.2430000,33.2450000,33.2430000,33.2450000,2445000
USD000000TOD,1,20131204,122200,33.2450000,33.2470000,33.2450000,33.2470000,2763000
USD000000TOD,1,20131204,122300,33.2465000,33.2475000,33.2450000,33.2450000,797000
USD000000TOD,1,20131204,122400,33.2485000,33.2495000,33.2460000,33.2495000,1808000
USD000000TOD,1,20131204,122500,33.2490000,33.2490000,33.2475000,33.2475000,80000
USD000000TOD,1,20131204,122600,33.2500000,33.2500000,33.2495000,33.2500000,1068000
USD000000TOD,1,20131204,122700,33.2510000,33.2525000,33.2500000,33.2500000,668000
USD000000TOD,1,20131204,122800,33.2525000,33.2525000,33.2475000,33.2490000,1530000
USD000000TOD,1,20131204,122900,33.2475000,33.2515000,33.2450000,33.2450000,3367000
USD000000TOD,1,20131204,123000,33.2455000,33.2455000,33.2450000,33.2455000,1381000
USD000000TOD,1,20131204,123100,33.2430000,33.2450000,33.2425000,33.2450000,1980000
USD000000TOD,1,20131204,123200,33.2450000,33.2465000,33.2450000,33.2465000,1675000
USD000000TOD,1,20131204,123300,33.2450000,33.2470000,33.2435000,33.2465000,2205000
USD000000TOD,1,20131204,123400,33.2435000,33.2450000,33.2390000,33.2450000,4285000
USD000000TOD,1,20131204,123500,33.2470000,33.2475000,33.2460000,33.2460000,2115000
